87,244,14
104,244,14
104,244,14
104,244,14
104,244,11
104,255,11
104,255,11
104,255,11
104,255,11
104,255,11
104,255,10
104,255,10
104,255,7
104,255,7
104,255,7
104,255,7
104,255,7
104,255,7
104,255,7
104,255,7
104,255,7
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
104,255,4
102,255,4
102,255,4
102,255,4
102,255,4
102,255,0
102,255,0
102,255,0
102,255,0
102,255,0
102,255,0
102,255,0
102,255,0
102,255,0
